id,key,id_1,author,created,field,fieldtype,from,fromString,to,toString
13322636,BEAM-10705,19154171,b20375d7,2020-09-14 20:15:48,RemoteIssueLink,jira,212540,"This issue links to ""GitHub Pull Request #12811 (Web Link)""",212540,"This issue links to ""GitHub Pull Request #12811 (Web Link)"""
12757250,SQOOP-1781,14416397,8208a620,2015-03-16 19:18:18,Attachment,jira,12703176,SQOOP-1781.patch,,
12767246,PHOENIX-1580,14446744,dd305e66,2015-04-02 20:50:53,Comment,jira,"So I recommend you implement explain like this instead:
+    @Override
+    public void explain(List<String> planSteps) {
+        for (QueryPlan plan : plans) {
+            List<String> planSteps = plan.getExplainPlan().getPlanSteps();
+            steps.addAll(planSteps);   
+        } 
+    }

If I do this, I need to change ResultIterators interface to throw SQLException for ""public void explain(List<String> planSteps);"". Do you want to change the Interface?",,,
12913776,FLINK-3034,15470328,b20375d7,2016-06-22 09:47:05,RemoteIssueLink,jira,43095,"This issue links to ""GitHub Pull Request #1813 (Web Link)""",43095,"This issue links to ""GitHub Pull Request #1813 (Web Link)"""
13213484,SPARK-26817,17444311,b20375d7,2019-02-10 17:30:20,RemoteIssueLink,jira,145292,"This issue links to ""GitHub Pull Request #23727 (Web Link)""",145292,"This issue links to ""GitHub Pull Request #23727 (Web Link)"""
13098794,CARBONDATA-1438,16247449,b20375d7,2017-09-04 19:11:28,WorklogId,jira,51652,51652,,
13098794,CARBONDATA-1438,16247449,b20375d7,2017-09-04 19:11:28,timespent,jira,3600,3600,4200,4200
13092558,BEAM-2732,16734859,b20375d7,2018-04-02 23:36:35,RemoteIssueLink,jira,101911,"This issue links to ""GitHub Pull Request #4387 (Web Link)""",101911,"This issue links to ""GitHub Pull Request #4387 (Web Link)"""
13132904,BEAM-3516,16743482,b20375d7,2018-04-05 22:16:48,WorklogId,jira,88223,88223,,
13132904,BEAM-3516,16743482,b20375d7,2018-04-05 22:16:48,timespent,jira,4800,4800,5400,5400
13162415,BEAM-4414,16877577,b20375d7,2018-06-07 15:59:20,WorklogId,jira,109695,109695,,
13162415,BEAM-4414,16877577,b20375d7,2018-06-07 15:59:20,timespent,jira,1200,1200,1800,1800
13162415,BEAM-4414,17736417,b9cd9cba,2019-04-30 19:02:32,Workflow,jira,13467633,Classic default workflow + FixVersion required + Editable Closed Issues,13585158,Classic default workflow + FixVersion required + Editable Closed Issues + Triage Needed
13283292,GOBBLIN-1040,18651950,b20375d7,2020-03-02 03:42:48,RemoteIssueLink,jira,189328,"This issue links to ""GitHub Pull Request #2900 (Web Link)""",189328,"This issue links to ""GitHub Pull Request #2900 (Web Link)"""
13107954,CARBONDATA-1548,19355168,b20375d7,2020-12-17 15:34:58,WorklogId,jira,525576,525576,,
