key,comment.id,comment.author,comment.body,comment.created,comment.updated
ROL-555,12691823,11737828,"
I was unable to reproduce this at all on my Windows development box running the latest RELEASE_1_0_BRANCH and with patches for ROL-554, Tomcat 5.0.28, Sun JDK 1.4.2_06.

I WAS, however, able to reproduce this on my Linux staging box running RedHat ES3, Sun JDK 1.4.2_05, Tomcat 5.0.28.

I am still looking into it further.",2004-12-17 18:44:19,2004-12-17 18:44:19
ROL-555,12691775,11737828,"My own problem turned out to be misconfiguration on my Linux box.  I had forgotten to put URIEncoding=""UTF-8"" in the HTTP Connector configuration.  After correcting this I am now UNABLE to reproduce it.  I've suggested Tore check the same.


",2004-12-17 18:53:25,2004-12-17 18:53:25
ROL-555,12691947,bcd10105,I did the same as Anil and it solved my problem. Thanks again Anil! ,2004-12-17 20:03:55,2004-12-17 20:03:55
ROL-555,12691923,bcd10105,"This was not a bug but a Tomcat configuration problem. 

By adding the URIEncoding=""UTF-8"" attribute in the HTTP Connector configuration, the problem disappeared.",2004-12-18 09:48:05,2004-12-18 09:48:05
ROL-555,12691886,11737828,"This was due to a configuration problem on the user's site, which we found and corrected.  It was not reproducible if properly configured.  The reporter confirmed this in the previous comment.",2005-01-07 02:51:10,2005-01-07 02:51:10
AXISCPP-420,59133,9d7410ed,Now the problem is solved.It would have been solved by the solution to  AXISCPP-430  ,2005-02-14 20:04:22,2005-02-14 20:04:22
AXISCPP-420,59134,9d7410ed,The bug is fixed.,2005-02-14 20:05:08,2005-02-14 20:05:08
AMQ-171,12936667,17dd2494,Fixed.,2005-02-16 00:20:10,2005-02-16 00:20:10
XALANC-461,60013,bfab1c43,testcase attached,2005-03-02 12:04:58,2005-03-02 12:04:58
XALANC-461,60026,9323dab8,This is a duplicate of XALANC-445.,2005-03-02 15:50:56,2005-03-02 15:50:56
EWS-4,60101,5ff87f30,"Patch to solve the issue. Can someone review and apply it?

Ashutosh",2005-03-03 19:00:06,2005-03-03 19:00:06
EWS-4,60112,b401ad11,The patch by Ashutosh Shahi is applied ,2005-03-03 22:01:15,2005-03-03 22:01:15
XMLBEANS-96,60802,97e91f10,"This is fixed in V2. The case has been automated for regession. 
misc.detailed.JiraRegression50_100Test.test_jira_xmlbeans96",2005-03-15 09:22:54,2005-03-15 09:22:54
XMLBEANS-96,60803,97e91f10,"Unit Test Passes in V2, closing",2005-03-15 09:23:32,2005-03-15 09:23:32
BEEHIVE-427,60604,ebdf2539,pageflows to repro the problem.,2005-03-11 04:11:07,2005-03-11 04:11:07
BEEHIVE-427,60606,653f8212,Interesting one...,2005-03-11 05:31:26,2005-03-11 05:31:26
BEEHIVE-427,62776,653f8212,"I misunderstood this the first time I looked at it (well, maybe I'm still misunderstanding :)).  This seems like it's working correctly to me.  Controller.jpf *isn't* getting any sort of automatic reference to the shared flow.  The nested page flow is passing back a form bean, and that form bean happens to be an instance of a static inner class of the shared flow, but that's fine.  It's the same as using any other static inner class.

If I'm missing the point of this, feel free to reopen.",2005-04-14 08:09:46,2005-04-14 08:09:46
BEEHIVE-427,64940,ebdf2539,Verified as not an issue.  See previous comment by Rich.,2005-05-11 09:09:11,2005-05-11 09:09:11
