key,issuelink.id,type.id,type.name,type.inward,type.outward,inwardIssue.id,inwardIssue.key,inwardIssue.summary,inwardIssue.status.id,inwardIssue.status.name,inwardIssue.statusCategory.id,inwardIssue.statusCategory.key,inwardIssue.statusCategory.colorName,inwardIssue.statusCategory.name,inwardIssue.priority.id,inwardIssue.priority.name,inwardIssue.issuetype.id,inwardIssue.issuetype.description,inwardIssue.issuetype.name,inwardIssue.issuetype.subtask,outwardIssue.id,outwardIssue.key,outwardIssue.summary,outwardIssue.status.id,outwardIssue.status.name,outwardIssue.statusCategory.id,outwardIssue.statusCategory.key,outwardIssue.statusCategory.colorName,outwardIssue.statusCategory.name,outwardIssue.priority.id,outwardIssue.priority.name,outwardIssue.issuetype.id,outwardIssue.issuetype.description,outwardIssue.issuetype.name,outwardIssue.issuetype.subtask
XALANC-524,11181,10020,Cloners,is cloned by,is a clone of,,,,,,,,,,,,,,,,23545,XALANC-245,substring-before and substring-after,5,Resolved,3,done,green,Done,,,1,A problem which impairs or prevents the functions of the product.,Bug,False
MNG-309,12414097,12310260,Related,is related to,relates to,,,,,,,,,,,,,,,,12793303,MNG-252,"allow repoclean converter to read from a repository containing both v3 and v4 poms, and convert each correctly",6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False
MNG-309,12414108,12310260,Related,is related to,relates to,12793373,MNG-328,figure out why commons-logging-1.0.4 won't convert via the repoclean process,6,Closed,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
DIRSERVER-32,10493,10001,dependent,is depended upon by,depends upon,,,,,,,,,,,,,,,,21073,DIRSERVER-15,Write a ReferralRule,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False
DIRSERVER-32,10492,10001,dependent,is depended upon by,depends upon,17793,DIRSERVER-56,Create digester rules to decode all LDAPv3 message types,6,Closed,3,done,green,Done,1,Blocker,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
MNG-2179,12414685,12310000,Duplicate,is duplicated by,duplicates,,,,,,,,,,,,,,,,12793734,MNG-2134,"Population problem when ${project.organization.name} is used in pom, e.g. in plugin configuration.",6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False
MNG-2179,12414435,12310000,Duplicate,is duplicated by,duplicates,,,,,,,,,,,,,,,,12796360,MNG-2132,mvn.bat should exit 1 when maven fails by default,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False
MYFACES-149,12310381,12310000,Duplicate,is duplicated by,duplicates,30796,MYFACES-130," x:selectManyCheckbox  , if is not items selected, i have NullPointerException",6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
DERBY-634,12313140,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12348281,DERBY-1733,Redesign dynamic subquery materialization optimization to be based on cost analysis during compile/optimization phases.,1,Open,2,new,blue-gray,To Do,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False
ARCHETYPE-53,12415702,12310000,Duplicate,is duplicated by,duplicates,,,,,,,,,,,,,,,,12798356,ARCHETYPE-54,Dynamic archetype resource,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False
HARMONY-2368,12314396,12310000,Duplicate,is duplicated by,duplicates,,,,,,,,,,,,,,,,12357462,HARMONY-2396,[drlvm][jit] Jitrino fails to run SpecJBB2005 in -Xem:opt mode,5,Resolved,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False
AXIS2-2667,12316136,10030,Reference,is related to,relates to,12360232,AXIS2-1964,Null Pointer Exception in Service STUB class at  _operationClient.execute(true); line for AXIS2 1.1.1,5,Resolved,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
OFBIZ-682,12315797,10030,Reference,is related to,relates to,,,,,,,,,,,,,,,,12367476,OFBIZ-901,Fix/complete the billing account support,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False
ARCHETYPE-78,12415708,10001,dependent,is depended upon by,depends upon,,,,,,,,,,,,,,,,12797063,MNG-2339,${project.*} are interpreted in the wrong place,6,Closed,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False
CONTINUUM-1194,12413911,12310000,Duplicate,is duplicated by,duplicates,12791598,CONTINUUM-1317,Builds hand when JUNIT assertion failure text > 8192 characters,6,Closed,3,done,green,Done,2,Critical,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
DERBY-2960,12316867,10030,Reference,is related to,relates to,12369433,DERBY-2656,Run suites.All against a collated database,6,Closed,3,done,green,Done,4,Minor,3,A task that needs to be done.,Task,False,,,,,,,,,,,,,,,
HARMONY-4563,12317145,12310000,Duplicate,is duplicated by,duplicates,12374944,HARMONY-4564,[classlib][awt] FLFontRenderer,6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
CXF-827,12316911,10030,Reference,is related to,relates to,12373808,CXF-790,SOAP headers copied from input SOAPMessage to output SOAPMessage,6,Closed,3,done,green,Done,1,Blocker,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
DERBY-3065,12317528,12310000,Duplicate,is duplicated by,duplicates,,,,,,,,,,,,,,,,12377597,DERBY-3055,start CollationTest2 testDefaultCollation fails with java.sql.SQLException: Import error on line 7 of file extinout\names.dat: Read endOfFile at unexpected place on line 7. ,6,Closed,3,done,green,Done,3,Major,1,A problem which impairs or prevents the functions of the product.,Bug,False
GROOVY-1962,12420182,10001,dependent,is depended upon by,depends upon,12813643,GROOVY-1902,add check for usage of generics only with generics enabled classes and with the correct number of parameters,6,Closed,3,done,green,Done,3,Major,7,The sub-task of the issue,Sub-task,True,,,,,,,,,,,,,,,
GROOVY-1962,12419859,10001,dependent,is depended upon by,depends upon,12812056,GROOVY-1863,Groovy compiler executes code it is compiling,6,Closed,3,done,green,Done,1,Blocker,1,A problem which impairs or prevents the functions of the product.,Bug,False,,,,,,,,,,,,,,,
GROOVY-1962,12420021,10001,dependent,is depended upon by,depends upon,12813243,GROOVY-1314,support covariant return types (& generics),6,Closed,3,done,green,Done,3,Major,4,An improvement or enhancement to an existing feature or task.,Improvement,False,,,,,,,,,,,,,,,
